indice_tiempo,region_de_destino,origen_viajeros,viajeros,observaciones
2007-01,Buenos Aires,Residentes,401221,""
2007-01,Buenos Aires,No residentes,12889,""
2007-01,CABA,Residentes,139181,""
2007-01,CABA,No residentes,196750,""
2007-01,Córdoba,Residentes,255307,""
2007-01,Córdoba,No residentes,6298,""
2007-01,Cuyo,Residentes,125410,""
2007-01,Cuyo,No residentes,32889,""
2007-01,Litoral,Residentes,278527,""
2007-01,Litoral,No residentes,25389,""
2007-01,Norte,Residentes,166205,""
2007-01,Norte,No residentes,20994,""
2007-01,Patagonia,Residentes,313648,""
2007-01,Patagonia,No residentes,168992,""
2007-02,Buenos Aires,Residentes,352906,""
2007-02,Buenos Aires,No residentes,11313,""
2007-02,CABA,Residentes,151878,""
2007-02,CABA,No residentes,199063,""
2007-02,Córdoba,Residentes,216460,""
2007-02,Córdoba,No residentes,7768,""
2007-02,Cuyo,Residentes,126273,""
2007-02,Cuyo,No residentes,37394,""
2007-02,Litoral,Residentes,254121,""
2007-02,Litoral,No residentes,26451,""
2007-02,Norte,Residentes,130007,""
2007-02,Norte,No residentes,20723,""
2007-02,Patagonia,Residentes,261727,""
2007-02,Patagonia,No residentes,177164,""
2007-03,Buenos Aires,Residentes,254673,""
2007-03,Buenos Aires,No residentes,6533,""
2007-03,CABA,Residentes,184589,""
2007-03,CABA,No residentes,229160,""
2007-03,Córdoba,Residentes,147631,""
2007-03,Córdoba,No residentes,7278,""
2007-03,Cuyo,Residentes,127375,""
2007-03,Cuyo,No residentes,33596,""
2007-03,Litoral,Residentes,233369,""
2007-03,Litoral,No residentes,23161,""
2007-03,Norte,Residentes,123730,""
2007-03,Norte,No residentes,18978,""
2007-03,Patagonia,Residentes,214245,""
2007-03,Patagonia,No residentes,110348,""
2007-04,Buenos Aires,Residentes,195221,""
2007-04,Buenos Aires,No residentes,2954,""
2007-04,CABA,Residentes,172644,""
2007-04,CABA,No residentes,214612,""
2007-04,Córdoba,Residentes,137221,""
2007-04,Córdoba,No residentes,5521,""
2007-04,Cuyo,Residentes,127104,""
2007-04,Cuyo,No residentes,33092,""
2007-04,Litoral,Residentes,231070,""
2007-04,Litoral,No residentes,24403,""
2007-04,Norte,Residentes,151608,""
2007-04,Norte,No residentes,21375,""
2007-04,Patagonia,Residentes,170069,""
2007-04,Patagonia,No residentes,57654,""
2007-05,Buenos Aires,Residentes,113515,""
2007-05,Buenos Aires,No residentes,2050,""
2007-05,CABA,Residentes,182621,""
